ID,GroupPrefixRuntag,Index,Question,VERB,CCONJ,PRON,NUM,ADV,ADP,PART,ADJ,NOUN,PROPN,SCONJ,AUX,PUNCT,DET
clueweb22-fake-id,groupPrefixRuntag,1,"Are reviews by Cochrane, a British non-profit, a reliable source of health care data?",,,,,,by of,,British non reliable,reviews - profit source health care data,Cochrane,,Are,", , ?",a a
clueweb22-fake-id,groupPrefixRuntag,2,"Did Cochrane, a British non-profit, publish a study in 2023 indicating that mask mandates are not effective for reducing the spread of respiratory illnesses — including Covid-19?",publish indicating reducing including,,,2023,,in for of,not,British non effective respiratory,- profit study mask mandates spread illnesses,Cochrane Covid-19,that,Did are,", , — ?",a a the
clueweb22-fake-id,groupPrefixRuntag,3,"Could Tom Jefferson, the Oxford epidemiologist, be considered an expert on mask mandates and the spread of respiratory illnesses?",considered,and,,,,on of,,respiratory,epidemiologist expert mask mandates spread illnesses,Tom Jefferson Oxford,,Could be,", , ?",the an the
clueweb22-fake-id,groupPrefixRuntag,4,"Could Rochelle Walensky, director of the Centers for Disease Control and Prevention, be considered an expert on mask mandates and the spread of respiratory illnesses?",considered,and and,,,,of for on of,,respiratory,director expert mask mandates spread illnesses,Rochelle Walensky Centers Disease Control Prevention,,Could be,", , ?",the an the
clueweb22-fake-id,groupPrefixRuntag,5,What evidence is there that wearing masks can protect against respiratory illnesses — including Covid-19?,wearing protect including,,,,there,against,,respiratory,evidence masks illnesses,Covid-19,that,is can,— ?,What
clueweb22-fake-id,groupPrefixRuntag,6,Are N-95 masks better than lower-quality surgical or cloth masks at protecting against respiratory illnesses — including Covid-19?,protecting including,or,,,,than at against,,N-95 better lower surgical respiratory,masks quality cloth masks illnesses,Covid-19,,Are,- — ?,
clueweb22-fake-id,groupPrefixRuntag,7,What is the guidance from the Center for Disease Control and Prevention on mask mandates in schools?,,and,What,,,from for on in,,,guidance mask mandates schools,Center Disease Control Prevention,,is,?,the the
clueweb22-fake-id,groupPrefixRuntag,8,"What are the political leanings of Bret Stephens, the New York Times opinion columnist?",,,What,,,of,,political,leanings opinion columnist,Bret Stephens New York Times,,are,", ?",the the
clueweb22-fake-id,groupPrefixRuntag,9,What are the political leanings of the journalist Maryanne Demasi?,,,What,,,of,,political,leanings journalist,Maryanne Demasi,,are,?,the the
clueweb22-fake-id,groupPrefixRuntag,10,Does China provide a highly successful model for pandemic response?,provide,,,,highly,for,,successful pandemic,model response,China,,Does,?,a
